;LCA_CASE_NUMBER;STATUS;LCA_CASE_SUBMIT;DECISION_DATE;VISA_CLASS;LCA_CASE_EMPLOYMENT_START_DATE;LCA_CASE_EMPLOYMENT_END_DATE;LCA_CASE_EMPLOYER_NAME;LCA_CASE_EMPLOYER_ADDRESS;LCA_CASE_EMPLOYER_CITY;LCA_CASE_EMPLOYER_STATE;LCA_CASE_EMPLOYER_POSTAL_CODE;LCA_CASE_SOC_CODE;LCA_CASE_SOC_NAME;LCA_CASE_JOB_TITLE;LCA_CASE_WAGE_RATE_FROM;LCA_CASE_WAGE_RATE_TO;LCA_CASE_WAGE_RATE_UNIT;FULL_TIME_POS;TOTAL_WORKERS;LCA_CASE_WORKLOC1_CITY;LCA_CASE_WORKLOC1_STATE;PW_1;PW_UNIT_1;PW_SOURCE_1;OTHER_WAGE_SOURCE_1;YR_SOURCE_PUB_1;LCA_CASE_WORKLOC2_CITY;LCA_CASE_WORKLOC2_STATE;PW_2;PW_UNIT_2;PW_SOURCE_2;OTHER_WAGE_SOURCE_2;YR_SOURCE_PUB_2;LCA_CASE_NAICS_CODE
108;I-200-10125-596267;CERTIFIED-WITHDRAWN;2013-07-15 15:39:54;2013-10-30 09:27:11;H-1B;2013-07-15 00:00:00;2016-07-14 00:00:00;ICONSOFT INC.;101 CAMBRIDGE STREET;BURLINGTON;MA;01803;15-1132;Software Developers, Applications;SOFTWARE ENGINEER;80000.0;;Year;Y;1.0;ST. LOUIS;MO;76128.0;Year;Other;FLC DATA CENTER ONLINE WAGE LIBRARY;2013.0;;;;;;;;541511.0
109;I-200-10126-175157;CERTIFIED;2014-07-21 10:28:29;2014-07-25 22:01:09;H-1B;2014-07-21 00:00:00;2017-07-20 00:00:00;UNIFIED BUSINESS TECHNOLOGIES, INC;353 INDUSCO CT;TROY;MI;48083;15-1121;Computer Systems Analysts;PROGRAMMER ANALYST;60000.0;;Year;Y;1.0;CHICAGO;IL;55245.0;Year;OES;OFLC ONLINE DATA CENTER;2014.0;;;;;;;;541519.0
110;I-200-10127-239757;CERTIFIED-WITHDRAWN;2014-03-06 15:06:18;2014-03-14 11:06:57;H-1B;2014-09-01 00:00:00;2017-09-01 00:00:00;RESCON, INC.;4526 CHELTENHAM DRIVE;BETHESDA;MD;20814;15-1132;Software Developers, Applications;TPF APPLICATIONS DEVELOPER;85000.0;;Year;Y;1.0;BETHESDA;MD;71718.0;Year;OES;OFLC ONLINE DATA CENTER;2013.0;;;;;;;;541519.0
111;I-200-10134-474788;CERTIFIED-WITHDRAWN;2014-03-06 15:11:38;2014-03-14 11:08:04;H-1B;2014-09-01 00:00:00;2017-09-01 00:00:00;RESCON, INC.;4526 CHELTENHAM DRIVE;BETHESDA;MD;20814;15-1132;Software Developers, Applications;SENIOR TPF APPLICATIONS DEVELOPER/TECHNICAL LEAD;100000.0;;Year;Y;1.0;BETHESDA;MD;87006.0;Year;OES;OFLC ONLINE DATA CENTER;2013.0;;;;;;;;541519.0
112;I-200-10138-299218;CERTIFIED-WITHDRAWN;2010-05-18 14:28:12;2014-04-18 12:45:46;H-1B;2010-05-24 00:00:00;2013-05-23 00:00:00;CENTAURUS TECHNOLOGY PARTNERS, LLC;5005 W.ROYAL LANE;IRVING;TX;75063;15-1052.00;Computer Systems Analysts, Non R&D (ACWIA Only);SYSTEM ANALYST;60944.0;;Year;Y;1.0;JERSEY CITY;NJ;60944.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;54151.0
113;I-200-10138-698917;CERTIFIED-WITHDRAWN;2010-06-05 15:29:33;2013-10-31 17:33:30;H-1B;2010-12-01 00:00:00;2013-11-30 00:00:00;OREGON STATE UNIVERSITY;OFFICE OF INTERNATIONAL PROGRAMS;CORVALLIS;OR;97331;25-1071.00;Health Specialties Teachers, Postsecondary;ASSISTANT PROFESSOR;52.57;;Hour;N;1.0;CORVALLIS;OR;29.4;Hour;OES;OFLC ONLINE DATA CENTER;2009.0;;;;;;;;611310.0
114;I-200-10140-961035;CERTIFIED;2014-03-11 12:42:57;2014-03-17 22:06:01;H-1B;2014-09-09 00:00:00;2017-09-08 00:00:00;ARNAMY, INC.;3050 HIGHLAND OAKS TERRACE;TALLAHASSEE;FL;32301;15-1132;Software Developers, Applications;PROGRAMMER ANALYST;48000.0;;Year;Y;1.0;TALLAHASSEE;FL;45448.0;Year;OES;OFLC ONLINE DATA CENTER;2013.0;;;;;;;;541511.0
115;I-200-10144-104616;CERTIFIED-WITHDRAWN;2010-12-15 17:22:13;2014-03-19 09:17:13;H-1B;2011-05-01 00:00:00;2014-04-30 00:00:00;ROCHESTER INSTITUTE OF TECHNOLOGY;8 LOMB MEMORIAL DRIVE;ROCHESTER;NY;14623;25-1011.00;Business Teachers, Postsecondary;ASSISTANT PROFESSOR;115000.0;125000.0;Year;Y;1.0;ROCHESTER;NY;54330.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;611310.0
116;I-200-10144-336913;CERTIFIED;2014-06-16 12:39:40;2014-06-20 21:09:44;H-1B;2014-08-01 00:00:00;2017-07-31 00:00:00;UNIVERSITY OF MINNESOTA;516 - 15TH AVENUE SOUTHEAST;MINNEAPOLIS;MN;55455;25-1199;Postsecondary Teachers, All Other;INSTRUCTOR/ASSOCIATE HEAD COACH;44723.0;;Year;Y;1.0;MINNEAPOLIS;MN;44723.0;Year;OES;OFLC ONLINE DATA CENTER;2013.0;;;;;;;;611310.0
117;I-200-10144-937597;CERTIFIED-WITHDRAWN;2010-08-23 14:57:28;2013-11-15 14:21:25;H-1B;2011-01-01 00:00:00;2013-12-31 00:00:00;NEA CONSULTING, INC.;12 ROSZEL ROAD;PRINCETON;NJ;08540;15-1051.00;Computer Systems Analysts;PROGRAMMER ANALYST;66840.0;;Year;Y;1.0;MELVILLE;NY;54122.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;541511.0
118;I-200-10146-697955;WITHDRAWN;2014-01-28 09:13:03;2014-01-28 09:13:29;H-1B;2010-12-01 00:00:00;2013-12-01 00:00:00;;;;;;17-2072.00;Electronics Engineers, Except Computer;SR. DESIGN ENGINEER;;;;Y;1.0;;;;;;;;;;;;;;;
119;I-200-10148-753722;CERTIFIED-WITHDRAWN;2011-08-17 10:34:29;2014-06-16 15:44:44;H-1B;2011-10-01 00:00:00;2014-09-30 00:00:00;NETUITIVE, INC.;12700 SUNRISE VALLEY DRIVE;RESTON;VA;20191;15-1799;Computer Occupations, All Other;QUALITY ASSURANCE ENGINEER;70000.0;;Year;Y;1.0;RESTON;VA;62600.0;Year;Other;TOWERS WATSON PROFESSIONAL SPECIALIZED SERVICES PERSONNEL COMPENSATION;2010.0;;;;;;;;541511.0
120;I-200-10148-837318;CERTIFIED;2014-04-29 14:08:01;2014-05-05 22:01:44;H-1B;2014-06-21 00:00:00;2017-06-21 00:00:00;CCH INCORPORATED;2700 LAKE COOK ROAD;RIVERWOODS;IL;60015;15-1133;Software Developers, Systems Software;APPLICATIONS DEVELOPER II;81474.0;107300.0;Year;Y;1.0;KENNESAW;GA;81474.0;Year;OES;OFLC ONLINE DATA CENTER;2013.0;;;;;;;;511210.0
121;I-200-10153-471167;CERTIFIED-WITHDRAWN;2010-06-02 09:39:13;2013-11-20 14:02:27;H-1B;2010-12-01 00:00:00;2013-11-30 00:00:00;INDIANA UNIV. PURDUE UNIV. INDIANAPOLIS;C/O OFF. OF INTL AFFAIRS;INDIANAPOLIS;IN;46202;19-1029.00;Biological Scientists, All Other;POSTDOCTORAL RESEARCH ASSOCIATE;38620.0;;Year;Y;1.0;GARY;IN;33405.0;Year;OES;;2010.0;;;;;;;;611310.0
122;I-200-10155-704164;CERTIFIED-WITHDRAWN;2010-06-04 20:45:25;2013-10-18 17:23:52;H-1B;2010-12-04 00:00:00;2013-12-03 00:00:00;JAPAN BUSINESS SYSTEMS TECHNOLOGY;1899 WESTERN WAY;TORRANCE;CA;90501;27-3041.00;Editors;PROPOSAL EDITOR;33758.0;;Year;Y;1.0;TORRANCE;CA;33758.0;Year;OES;OFLC ONLINE DATA CENTER;2009.0;;;;;;;;519190.0
123;I-200-10162-700708;CERTIFIED;2014-05-22 17:59:38;2014-05-29 22:00:33;H-1B;2014-06-29 00:00:00;2017-06-29 00:00:00;HEALTH LANGUAGE, INC.;2700 LAKE COOK ROAD;RIVERWOODS;IL;60015;17-2031;Biomedical Engineers;SENIOR PRODUCT SUPPORT CONSULTANT;72530.0;143948.12;Year;Y;1.0;DENVER;CO;72530.0;Year;OES;OFLC ONLINE DATA CENTER;2013.0;;;;;;;;5417.0
124;I-200-10162-830147;CERTIFIED;2014-06-09 12:39:37;2014-06-14 21:09:44;H-1B;2014-06-22 00:00:00;2017-06-21 00:00:00;CCH INCORPORATED;2700 LAKE COOK ROAD;RIVERWOODS;IL;60015;15-1132;Software Developers, Applications;APPLICATIONS DEVELOPER III;69659.0;94512.81;Year;Y;1.0;IOWA CITY;IA;69659.0;Year;OES;OFLC ONLINE DATA CENTER;2013.0;;;;;;;;511210.0
125;I-200-10165-369746;WITHDRAWN;2014-01-28 09:15:18;2014-01-28 09:15:42;H-1B;2010-12-02 00:00:00;2013-12-01 00:00:00;ADVANCED MICRO DEVICES, INC.;ONE AMD PLACE;SUNNYVALE;CA;94088;17-2072.00;Electronics Engineers, Except Computer;SENIOR DESIGN ENGINEER;91187.0;130174.0;Year;Y;1.0;SUNNYVALE;CA;91187.0;Year;OES;OFLC ONLINE DATA CENTER;2009.0;;;;;;;;54151.0
126;I-200-10165-690070;CERTIFIED-WITHDRAWN;2014-08-18 15:00:09;2014-09-23 15:24:20;H-1B;2014-09-01 00:00:00;2015-08-31 00:00:00;JOHNS HOPKINS UNIVERSITY;1620 MCELDERRY STREET;BALTIMORE;MD;21205;19-1021;Biochemists and Biophysicists;RESEARCH ASSOCIATE;63900.0;;Year;Y;1.0;BALTIMORE;MD;35464.0;Year;Other;OFLC ONLINE DATA CENTER;2014.0;;;;;;;;611310.0
127;I-200-10165-740671;CERTIFIED-WITHDRAWN;2011-07-21 18:12:00;2014-04-08 18:02:08;H-1B;2011-08-01 00:00:00;2014-08-01 00:00:00;THE J. DAVID GLADSTONE INSTITUTES;1650 OWENS STREET;SAN FRANCISCO;CA;94158;19-1029;Biological Scientists, All Other;BIOINFORMATICS FELLOW;48200.0;57900.0;Year;Y;1.0;SAN FRANCISCO;CA;46155.0;Year;OES;OFLC ONLINE DATA CENTER;2011.0;;;;;;;;541711.0
128;I-200-10165-753565;WITHDRAWN;2014-01-28 09:14:15;2014-01-28 09:14:42;H-1B;2010-11-18 00:00:00;2013-11-17 00:00:00;ADVANCED MICRO DEVICES, INC.;ONE AMD PLACE;SUNNYVALE;CA;94088;17-2072.00;Electronics Engineers, Except Computer;SENIOR PRODUCT DEVELOPMENT ENGINEER;66123.0;95469.0;Year;Y;1.0;AUSTIN;TX;66123.0;Year;OES;OFLC ONLINE DATA CENTER;2009.0;;;;;;;;54151.0
129;I-200-10169-578863;CERTIFIED;2013-09-30 16:48:19;2013-10-22 22:00:38;H-1B;2013-12-14 00:00:00;2016-12-13 00:00:00;STATOIL US HOLDINGS INC.;120 LONG RIDGE ROAD;STAMFORD;CT;06902;13-2051;Financial Analysts;SENIOR INVESTMENT ANALYST;160000.0;;Year;Y;1.0;STAMFORD;CT;124342.0;Year;OES;OFLC ONLINE DATA CENTER;2013.0;;;;;;;;213112.0
130;I-200-10173-792925;CERTIFIED-WITHDRAWN;2013-04-09 13:27:55;2014-09-18 19:47:27;H-1B;2013-08-16 00:00:00;2016-08-15 00:00:00;WASHINGTON STATE UNIVERSITY;WASHINGTON STATE UNIV., INT'L PROGS-GLOBAL SERVICE;PULLMAN;WA;99164-5110;25-1032;Engineering Teachers, Postsecondary;ASSISTANT PROFESSOR;71000.0;;Year;Y;1.0;VANCOUVER;WA;61530.0;Year;OES;OFLC ONLINE DATA CENTER;2012.0;;;;;;;;611310.0
131;I-200-10180-099734;CERTIFIED-WITHDRAWN;2010-06-29 14:07:47;2013-10-24 12:39:52;H-1B;2010-12-13 00:00:00;2013-12-12 00:00:00;ADVENT GLOBAL SOLUTIONS INC.;12777 JONES ROAD;HOUSTON;TX;77070;15-1051.00;Computer Systems Analysts;SYSTEMS ANALYST;60000.0;;Year;Y;1.0;HOUSTON;TX;47362.0;Year;Other;'OFLC ONLINE DATA CENTER';2009.0;MENOMONEE FALLS;WI;47466.0;Year;Other;'OFLC ONLINE DATA CENTER';'OFLC ONLINE DATA CENTER';541511.0
132;I-200-10180-484953;CERTIFIED-WITHDRAWN;2013-08-02 11:34:48;2014-05-06 10:32:50;H-1B;2013-08-02 00:00:00;2016-08-01 00:00:00;INTONE NETWORKS INC.;10 AUSTIN AVENUE;ISELIN;NJ;08830;15-1131;Computer Programmers;CLINICAL STATISTICAL PROGRAMMER;60000.0;;Year;Y;1.0;WAYNE;PA;50045.0;Year;Other;FLC DATA CENTER ONLINE WAGE LIBRARY;2013.0;;;;;;;;541519.0
133;I-200-10183-037245;CERTIFIED;2014-09-02 14:13:18;2014-09-08 22:01:08;H-1B;2015-02-01 00:00:00;2016-01-31 00:00:00;THE JOHNS HOPKINS UNIVERSITY;1620 MCELDERRY STREET;BALTIMORE;MD;21205;19-1029;Biological Scientists, All Other;POSTDOCTORAL RESEARCH FELLOW;52466.0;;Year;Y;1.0;BALTIMORE;MD;44824.0;Year;Other;OFLC ONLINE DATA CENTER;2014.0;;;;;;;;611310.0
134;I-200-10187-154992;CERTIFIED;2013-10-18 15:22:06;2013-10-26 22:01:47;H-1B;2013-11-01 00:00:00;2016-10-31 00:00:00;BLUECROSS BLUESHIELD OF TENNESSEE;1 CAMERON HILL CIRCLE;CHATTANOOGA;TN;37402;15-1132;Software Developers, Applications;REPORTING SOLUTIONS CONSULTANT II;85466.0;115480.0;Year;Y;1.0;CHATTANOOGA;TN;85446.0;Year;OES;OFLC ONLINE DATA CENTER;2013.0;;;;;;;;524114.0
135;I-200-10187-268419;CERTIFIED-WITHDRAWN;2010-07-06 14:27:56;2013-11-25 14:32:17;H-1B;2010-12-01 00:00:00;2013-11-30 00:00:00;CHILDREN'S HOSPITAL CORPORATION;300 LONGWOOD AVENUE;BOSTON;MA;02115;19-1042.00;Medical Scientists, Except Epidemiologists;POST-DOCTORAL RESEARCH FELLOW;42298.0;;Year;Y;1.0;BOSTON;MA;39229.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;622310.0
136;I-200-10187-668549;CERTIFIED;2014-01-10 15:45:33;2014-01-16 22:00:09;H-1B;2014-01-17 00:00:00;2017-01-16 00:00:00;JOHNSONVILLE SAUSAGE, LLC;N6928 JOHNSONVILLE WAY;SHEBOYGAN FALLS;WI;53085;13-1111;Management Analysts;STRATEGIC INSIGHTS & ANALYTICS ANALYST;62500.0;;Year;Y;1.0;SHEBOYGAN FALLS;WI;59134.0;Year;OES;OFLC ONLINE DATA CENTER;2013.0;;;;;;;;311615.0
137;I-200-10193-859176;WITHDRAWN;2010-07-12 14:47:51;2013-12-31 10:40:34;H-1B;2011-01-01 00:00:00;2013-12-31 00:00:00;THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT H;7000 FANNIN STREET , SUITE  # 130;HOUSTON;TX;77030;19-1042.00;Medical Scientists, Except Epidemiologists;POSTDOCTORAL FELLOW;44304.0;;Year;Y;1.0;HOUSTON;TX;33155.0;Year;OES;;2010.0;;;;;;;;611310.0
138;I-200-10195-858885;CERTIFIED-WITHDRAWN;2010-07-27 10:53:39;2013-11-12 14:48:36;H-1B;2011-01-10 00:00:00;2014-01-10 00:00:00;SIEMENS MEDICAL SOLUTIONS USA, INC.;2501 NORTH BARRINGTON RD.;HOFFMAN ESTATES;IL;60192;15-1031.00;Computer Software Engineers, Applications;SOFTWARE ENGINEER 1;56000.0;;Year;Y;1.0;KNOXVILLE;TN;47674.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;33911.0
139;I-200-10196-418201;CERTIFIED-WITHDRAWN;2010-07-26 17:14:51;2013-10-30 10:42:44;H-1B;2011-01-14 00:00:00;2014-01-14 00:00:00;UNITED AIRLINES, INC.;1200 E. ALGONQUIN ROAD;ELK GROVE VILLAGE;IL;60007;15-2031.00;Operations Research Analysts;LEAD PROGRAMMER ANALYST;81156.0;;Year;Y;1.0;ELK  GROVE VILLAGE;IL;60258.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;CHICAGO;IL;60258.0;Year;OES;OFLC ONLINE DATA CENTER;OFLC ONLINE DATA CENTER;481000.0
140;I-200-10196-639066;CERTIFIED;2013-10-18 10:50:06;2013-10-26 22:01:31;H-1B;2013-10-18 00:00:00;2016-10-01 00:00:00;HEADSTRONG SERVICES LLC;11911 FREEDOM DRIVE;RESTON;VA;20190;15-1199;Computer Occupations, All Other;QA LEAD;60000.0;66000.0;Year;Y;1.0;CHICAGO;IL;59738.0;Year;OES;OFLC ONLINE DATA CENTER;2013.0;CHICAGO;IL;59738.0;Year;OES;OFLC ONLINE DATA CENTER;OFLC ONLINE DATA CENTER;541611.0
141;I-200-10196-823143;CERTIFIED-WITHDRAWN;2012-09-13 16:24:17;2014-05-07 08:03:49;H-1B;2012-09-17 00:00:00;2015-09-16 00:00:00;MYLAN SPECIALTY L.P.;110 ALLEN ROAD;BASKING RIDGE;NJ;07920;15-1799;Computer Occupations, All Other;ASSOCIATE MANAGER, BUSINESS INTELLIGENCE & SAS ANA;95000.0;;Year;Y;1.0;BASKING RIDGE;NJ;79768.0;Year;OES;OFLC ONLINE DATA CENTER;2012.0;;;;;;;;325412.0
142;I-200-10200-339052;CERTIFIED-WITHDRAWN;2010-07-19 13:43:18;2013-11-01 15:00:20;H-1B;2010-12-01 00:00:00;2013-11-30 00:00:00;NEW YORK UNIVERSITY SCHOOL OF MEDICINE;550 FIRST AVENUE;NEW YORK;NY;10016;19-1021.00;Biochemists and Biophysicists;POSTDOCTORAL FELLOW;34154.0;;Year;Y;1.0;NEW YORK;NY;34154.0;Year;OES;;2010.0;;;;;;;;611310.0
143;I-200-10200-537377;CERTIFIED-WITHDRAWN;2010-07-28 16:55:24;2013-10-22 22:51:38;H-1B;2011-01-19 00:00:00;2014-01-19 00:00:00;ACS TRANSPORT SOLUTIONS, INC.;2828 NORTH HASKELL AVENUE;DALLAS;TX;75204;15-1031.00;Computer Software Engineers, Applications;PROJECT MANAGER;100303.01;;Year;Y;1.0;SOMERSET;NJ;89024.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;541512.0
144;I-200-10200-577272;CERTIFIED-WITHDRAWN;2010-11-15 17:38:43;2013-11-13 13:41:15;H-1B;2010-11-23 00:00:00;2013-11-23 00:00:00;HEADSTRONG SERVICES LLC;4035 RIDGE TOP ROAD;FAIRFAX;VA;22030;15-1021.00;Computer Programmers;CONSULTANT;80000.0;;Year;Y;1.0;NEW YORK;NY;65582.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;541611.0
145;I-200-10203-283246;WITHDRAWN;2010-07-22 12:44:47;2013-12-19 17:19:47;H-1B;2011-01-01 00:00:00;2013-12-31 00:00:00;THE SCRIPPS RESEARCH INSTITUTE;10550 NORTH TORREY PINES ROAD TCP18;LA JOLLA;CA;92037;19-1021.00;Biochemists and Biophysicists;RESEARCH ASSOCIATE;38396.0;;Year;Y;1.0;LA JOLLA;CA;35838.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;54171.0
146;I-200-10203-515386;CERTIFIED-WITHDRAWN;2010-11-15 13:06:20;2013-11-05 15:17:10;H-1B;2011-04-25 00:00:00;2014-04-24 00:00:00;TENDERLOIN NEIGHBORHOOD DEVELOPMENT CORPORATION;201 EDDY STREET;SAN FRANCISCO;CA;94102;21-1021.00;Child, Family, and School Social Workers;SOCIAL WORKER II;36379.0;41500.0;Year;Y;1.0;SAN FRANCISCO;CA;36379.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;624190.0
147;I-200-10207-164694;CERTIFIED-WITHDRAWN;2011-11-23 15:45:45;2013-12-06 17:35:53;H-1B;2011-11-30 00:00:00;2014-11-29 00:00:00;M.C. DEAN, INC.;22461 SHAW ROAD;DULLES;VA;20166;17-3023;Electrical and Electronics Engineering Technicians;ELECTRICAL SUPERVISOR;33.79;;Hour;Y;1.0;MCLEAN;VA;33.79;Hour;OES;OFLC ONLINE DATA CENTER;2011.0;WASHINGTON;DC;33.79;Hour;OES;OFLC ONLINE DATA CENTER;OFLC ONLINE DATA CENTER;541330.0
148;I-200-10211-962822;CERTIFIED;2013-10-18 13:32:24;2013-11-01 22:02:57;H-1B;2013-10-21 00:00:00;2016-10-21 00:00:00;SOUTHERN MEDICAL PARTNERS LLC;1300 RIVERPLACE BLVD.;JACKSONVILLE;FL;32207;29-1069;Physicians and Surgeons, All Other;EMERGENCY MEDICINE PHYSICIAN;125.0;175.0;Hour;N;1.0;SOUTH WILLIAMSON;KY;90.31;Hour;Other;BUREAU OF LABOR STATISTICS;2012.0;;;;;;;;62111.0
149;I-200-10214-239270;CERTIFIED-WITHDRAWN;2010-08-20 14:07:41;2013-11-19 12:18:22;H-1B;2011-01-10 00:00:00;2014-01-09 00:00:00;UNIVERSITY OF COLORADO;1380 LAWRENCE STREET, 932;DENVER;CO;80217;19-1029.99;Biological Scientists, All Other;POST-DOCTORAL FELLOW;37740.0;;Year;Y;1.0;AURORA;CO;33613.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;611310.0
150;I-200-10214-828624;CERTIFIED-WITHDRAWN;2010-08-02 17:12:10;2013-10-31 12:09:47;H-1B;2011-01-03 00:00:00;2014-01-02 00:00:00;POPULATION SERVICES INTERNATIONAL;1120 19TH STREET NW;WASHINGTON;DC;20036;13-2051.00;Financial Analysts;FINANCIAL ANALYST;59743.0;;Year;Y;1.0;WASHINGTON;DC;53394.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;813319.0
151;I-200-10216-217068;CERTIFIED-WITHDRAWN;2010-08-06 10:44:31;2013-12-18 11:16:29;H-1B;2011-01-30 00:00:00;2014-01-29 00:00:00;ERICSSON INC.;6300 LEGACY DRIVE, R1-C10;PLANO;TX;75024;15-1071.00;Network and Computer Systems Administrators;ENGINEER - SERVICES RF;52416.0;70846.0;Year;Y;1.0;PLANO;TX;52416.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;334220.0
152;I-200-10217-059051;CERTIFIED-WITHDRAWN;2010-08-05 22:56:13;2013-11-14 14:41:53;H-1B;2010-10-01 00:00:00;2013-10-01 00:00:00;TORO CAPITAL MANAGEMENT LLC;440 SOUTH LASALLE;CHICAGO;IL;60605;13-2051.00;Financial Analysts;FINANCIAL ANALYST, DERIVATIVES TRADER;60000.0;;Year;Y;1.0;CHICAGO;IL;49067.0;Year;OES;OFCL ONLINE DATA CENTER;2010.0;;;;;;;;523110.0
153;I-200-10217-803177;CERTIFIED-WITHDRAWN;2010-08-05 10:37:25;2014-02-02 21:19:52;H-1B;2010-10-02 00:00:00;2013-09-26 00:00:00;REVISION TECHNOLOGIES INC;30 RICHARD ROAD;EDISON;NJ;08820;15-1071.00;Network and Computer Systems Administrators;NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS;60000.0;65000.0;Year;Y;1.0;EDISON;NJ;53560.0;Year;Other;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;541511.0
154;I-200-10218-146972;WITHDRAWN;2010-08-06 12:54:27;2014-07-22 15:23:23;H-1B;2010-08-10 00:00:00;2013-08-09 00:00:00;UBS AG;677 WASHINGTON BOULEVARD;STAMFORD;CT;06901;15-1031.00;Computer Software Engineers, Applications;ASSOCIATE DIRECTOR, SENIOR C++ DEVELOPER / FRONT O;113922.0;115000.0;Year;Y;1.0;STAMFORD;CT;113922.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;523110.0
155;I-200-10222-895570;CERTIFIED-WITHDRAWN;2010-08-10 15:47:20;2013-11-04 18:02:34;H-1B;2011-01-20 00:00:00;2014-01-19 00:00:00;MAGNUM SEMICONDUCTOR, INC.;591 YOSEMITE DR.;MILPITAS;CA;95035;17-2072.00;Electronics Engineers, Except Computer;HARDWARE VERIFICATION ENGINEER;84000.0;;Year;Y;1.0;MILPITAS;CA;84000.0;Year;Other;AON CORPORATION RADFORD US BENCHMARK SURVEY;2010.0;;;;;;;;334400.0
156;I-200-10223-270648;CERTIFIED-WITHDRAWN;2010-08-17 13:57:14;2013-12-03 15:36:32;H-1B;2011-02-01 00:00:00;2014-02-01 00:00:00;T-MOBILE USA, INC.;12920 SE 38TH STREET;BELLEVUE;WA;98006;17-2072.00;Electronics Engineers, Except Computer;ENGINEER, RADIO FREQUENCY DEPLOYMENT;78603.0;80013.44;Year;Y;1.0;SACRAMENTO;CA;78603.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;517212.0
157;I-200-10225-712446;CERTIFIED-WITHDRAWN;2014-03-10 14:43:28;2014-06-27 10:20:24;H-1B;2014-09-01 00:00:00;2017-09-01 00:00:00;CITRON PHARMA, LLC;2 TOWER CENTER BLVD.;EAST BRUNSWICK;NJ;08816;15-1121;Computer Systems Analysts;BUSINESS SYSTEMS ANALYST;70000.0;;Year;Y;1.0;EAST BRUNSWICK;NJ;62442.0;Year;OES;OFLC ONLINE DATA CENTER;2013.0;;;;;;;;424210.0
158;I-200-10228-361342;WITHDRAWN;2010-09-07 15:39:06;2013-12-30 14:55:22;H-1B;2011-03-01 00:00:00;2014-03-01 00:00:00;HARTFORD FIRE INSURANCE COMPANY;ONE HARTFORD PLAZA;HARTFORD;CT;06115;15-2011.00;Actuaries;SENIOR ACTUARIAL ANALYST;64397.0;82000.0;Year;Y;1.0;SIMSBURY;CT;64396.8;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;524126.0
159;I-200-10228-828212;CERTIFIED;2014-09-02 13:57:32;2014-09-08 22:01:07;H-1B;2015-01-15 00:00:00;2018-01-14 00:00:00;THE JOHNS HOPKINS UNIVERSITY;1620 MCELDERRY STREET;BALTIMORE;MD;21205;19-4021;Biological Technicians;RESEARCH TECHNOLOGIST;28320.0;;Year;Y;1.0;BALTIMORE;MD;27768.0;Year;Other;OFLC ONLINE DATA CENTER;2014.0;;;;;;;;611310.0
160;I-200-10236-626651;WITHDRAWN;2010-08-25 11:47:10;2013-12-17 16:15:12;H-1B;2010-10-01 00:00:00;2013-09-30 00:00:00;BROADCOM CORPORATION;5300 CALIFORNIA AVE.;IRVINE;CA;92617;15-1031.00;Computer Software Engineers, Applications;ENGINEER, STAFF I - FIRMWARE;79100.0;;Year;Y;1.0;SAN DIEGO;CA;77418.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;334413.0
161;I-200-10236-701026;CERTIFIED-WITHDRAWN;2011-03-16 17:42:29;2014-02-28 17:24:28;H-1B;2011-09-01 00:00:00;2014-08-31 00:00:00;BOSTON VA RESEARCH INSTITUTE, INC.;150 S. HUNTINGTON AVENUE, 151B;BOSTON;MA;02130;19-3031.02;Clinical Psychologists;POSTDOCTORAL FELLOW IN PTSD;64013.0;;Year;Y;1.0;BOSTON;MA;56805.0;Year;OES;OFLC ONLINE DATA CENTER;2010.0;;;;;;;;813212.0
